frame,u,v,area,ok
0,1164.6459687906372,712.8803641092328,3076,1
1,1160.4138269986893,713.4036697247707,3052,1
2,1155.6073030108905,716.2690582959641,3122,1
3,1150.7737341772151,716.7803797468355,3160,1
4,1145.1987933634991,719.8850678733031,3315,1
5,1139.965250965251,720.5910305910306,3367,1
6,1135.2687818018558,723.3346303501945,3341,1
7,1129.5162241887906,724.3713864306785,3390,1
8,1122.456879146236,727.6755119700028,3467,1
9,1116.2296870513924,728.5351708297445,3483,1
10,1110.1475133464455,731.8937903905592,3559,1
11,1102.8286578657867,733.0660066006601,3636,1
12,1095.8474668111623,736.4259008398808,3691,1
13,1088.557517388978,737.7953451043338,3738,1
14,1073.2274954862007,742.5099303585247,3877,1
15,1064.4600808489135,746.434057604851,3958,1
16,1055.510524980979,748.281004311438,3943,1
17,1035.79375,754.7432692307692,4160,1
18,1026.060062215841,758.9590811198851,4179,1
19,1014.6698180099268,760.7752304419759,4231,1
20,1002.0370715784566,763.8057822336209,4289,1
21,975.9766068589598,769.7703838292074,4403,1
22,961.9066085360257,771.6431849472235,4358,1
23,946.2829403606103,774.9177068885807,4326,1
24,906.1510869565218,781.5873913043479,4600,1
25,887.2616567460317,782.3509424603175,4032,1
26,932.9695597484276,747.2821383647798,7950,1
27,998.8867122051811,698.4857584740301,7759,1
28,1153.1168032786886,575.4295960187353,6832,1
29,1204.246814218645,526.9604292421194,5964,1
30,1239.94922813036,481.9778730703259,5830,1
31,1267.9297378599053,440.9929093253116,4654,1
32,nan,nan,0,0
33,1302.4536082474226,352.3656357388316,2910,1
34,1302.6456086286594,330.49075500770414,3894,1
35,1297.7375706214689,304.090395480226,3540,1
36,1272.3132616487455,259.49032258064517,2790,1
37,1255.1676436107855,243.31105900742477,2559,1
38,1237.0208877284595,230.76892950391644,2298,1
39,1217.5052430886558,219.6272640610105,2098,1
40,1198.4130325814535,212.87318295739348,1995,1
41,1178.9651347068145,206.37242472266243,1893,1
42,1179.0708154506437,206.24517167381975,1864,1
43,1160.2212086659065,203.82725199543898,1754,1
44,1141.5387431360587,199.12141549725442,1639,1
45,1125.3091503267974,196.19542483660132,1530,1
46,1110.846889952153,189.14149008885852,1463,1
47,1098.9798270893373,181.37680115273776,1388,1
48,1086.6434911242604,172.84245562130178,1352,1
49,1075.2635239567232,167.01313755795982,1294,1
50,1075.3732503888025,166.92612752721618,1286,1
51,1063.7036747458953,161.2470680218921,1279,1
