frame,u,v,area,ok
0,787.2262773722628,338.91970802919707,137,1
1,756.187969924812,325.61654135338347,133,1
2,731.0,314.86486486486484,74,1
3,699.6369863013699,301.78767123287673,146,1
4,694.9028571428571,291.24,175,1
5,649.5725806451613,284.16129032258067,124,1
6,627.4765100671141,274.80536912751677,149,1
7,607.1521739130435,267.2971014492754,138,1
8,586.5853658536586,259.0569105691057,123,1
9,568.3170731707318,252.04065040650406,123,1
10,550.3884297520661,244.59504132231405,121,1
11,534.5390625,238.5078125,128,1
12,520.5769230769231,232.32692307692307,104,1
13,505.6764705882353,227.6764705882353,102,1
14,494.2583333333333,223.4,120,1
15,481.92452830188677,219.60377358490567,106,1
16,469.54651162790697,216.2325581395349,86,1
17,458.81481481481484,211.57407407407408,108,1
18,583.7671232876712,163.2876712328767,73,1
19,591.0793650793651,164.05555555555554,126,1
20,598.2222222222222,164.2,180,1
21,604.7733333333333,164.80333333333334,300,1
22,610.9918256130791,164.83378746594005,367,1
23,618.062124248497,165.3687374749499,499,1
24,598.2730061349694,147.75460122699386,326,1
25,632.4695222405272,166.93904448105437,607,1
26,639.8905982905983,166.9128205128205,585,1
27,619.9847094801223,148.5290519877676,327,1
28,654.5954356846473,169.31950207468878,482,1
29,661.5265017667845,168.36395759717314,566,1
30,641.1951219512196,148.03963414634146,328,1
31,674.3483146067416,169.85842696629214,445,1
32,679.6987951807229,167.97418244406197,581,1
33,658.639880952381,147.20833333333334,336,1
34,663.4722222222222,147.67592592592592,324,1
35,667.9872204472844,147.36741214057508,313,1
36,670.8453947368421,148.0625,304,1
37,674.3300653594771,147.5718954248366,306,1
38,678.2089552238806,147.07164179104478,335,1
39,680.9030303030303,147.01818181818183,330,1
40,683.4404761904761,147.2202380952381,336,1
41,685.7791798107255,147.22397476340694,317,1
42,687.9331210191083,146.98407643312103,314,1
43,689.2467532467532,147.63636363636363,308,1
44,690.7049180327868,147.61311475409835,305,1
45,692.1533333333333,147.65,300,1
46,693.8154362416108,147.95302013422818,298,1
47,695.3860759493671,147.7879746835443,316,1
48,697.2579787234042,147.25531914893617,376,1
49,698.9779614325068,147.1763085399449,363,1
50,699.8311345646438,147.17150395778364,379,1
51,701.0686015831135,147.844327176781,379,1
52,702.461126005362,148.37801608579088,373,1
53,703.8876712328768,149.1205479452055,365,1
54,705.4591549295775,149.65915492957745,355,1
55,707.3449275362319,150.19710144927535,345,1
56,709.0259365994236,151.35446685878964,347,1
57,710.6565349544073,153.03343465045592,329,1
58,712.6050156739811,154.98119122257054,319,1
59,715.0283911671925,156.993690851735,317,1
60,716.9970588235294,158.3,340,1
61,719.0451807228916,159.80722891566265,332,1
62,720.5760233918129,161.90058479532163,342,1
63,722.2365930599369,164.26498422712933,317,1
64,723.9454545454546,165.6787878787879,330,1
65,726.5844155844156,167.7564935064935,308,1
66,728.875,169.82432432432432,296,1
67,731.2179930795847,172.00692041522493,289,1
68,733.6474820143885,173.89928057553956,278,1
