frame,u,v,area,ok
0,787.2262773722628,338.91970802919707,137,1
1,756.187969924812,325.61654135338347,133,1
2,731.0,314.86486486486484,74,1
3,699.6369863013699,301.78767123287673,146,1
4,694.9028571428571,291.24,175,1
5,649.5725806451613,284.16129032258067,124,1
6,627.4765100671141,274.80536912751677,149,1
7,607.1521739130435,267.2971014492754,138,1
8,586.5853658536586,259.0569105691057,123,1
9,568.3170731707318,252.04065040650406,123,1
10,550.3884297520661,244.59504132231405,121,1
11,534.5390625,238.5078125,128,1
12,520.5769230769231,232.32692307692307,104,1
13,505.6764705882353,227.6764705882353,102,1
14,494.2583333333333,223.4,120,1
15,481.92452830188677,219.60377358490567,106,1
16,469.54651162790697,216.2325581395349,86,1
17,458.81481481481484,211.57407407407408,108,1
18,443.4880039182864,210.2689696538388,0,1
20,420.2613541765344,209.45334814588776,0,1
21,406.32172617319463,209.2685880412962,0,1
22,393.0,210.0,0,1
