frame,u,v,area,ok
0,369.9943775100402,912.1887550200803,1245,1
1,373.66622162883846,902.8464619492656,1498,1
2,388.8452599388379,882.2018348623853,1635,1
3,393.9837837837838,866.4175675675675,740,1
4,443.2183692596064,829.2464854732896,1067,1
5,446.05407586763516,824.6432606941081,1239,1
6,447.74937965260546,843.8362282878412,403,1
7,nan,nan,0,0
8,nan,nan,0,0
9,448.25581395348837,873.9302325581396,430,1
10,565.7604042806183,698.7574316290131,1682,1
11,580.1751866743251,681.7398047099368,1741,1
12,594.0667838312829,663.2419449326303,1707,1
13,607.0143926309729,647.0903857225101,1737,1
14,617.1394422310757,631.2902675014229,1757,1
15,626.6990407673861,616.6384892086331,1668,1
16,635.3836805555555,601.9444444444445,1728,1
17,642.4380664652568,588.0954682779457,1655,1
18,646.5991298943443,575.4773151025481,1609,1
19,649.433789954338,564.1158675799087,1752,1
20,649.7650096836669,554.8418334409296,1549,1
21,650.8080601092896,545.5,1464,1
22,651.497521685254,537.6734820322181,1614,1
23,647.5689773507206,528.640356897735,1457,1
24,645.493712772998,521.71012574454,1511,1
25,642.5037338764427,515.2539035980991,1473,1
26,640.9571230982019,510.2295988934993,1446,1
27,633.585,502.26142857142855,1400,1
28,619.9921875,494.4296875,768,1
29,626.3318544809229,486.40372670807454,1127,1
30,618.3057366362451,485.90677966101697,1534,1
31,611.559515324305,481.5609408410549,1403,1
32,604.7976453274466,476.67844002943343,1359,1
33,599.9722572509457,476.0075662042875,1586,1
34,594.194952681388,474.0700315457413,1585,1
35,588.6728081321475,473.80304955527316,1574,1
36,581.9229222520107,470.9671581769437,1492,1
37,578.1712427745665,467.8547687861272,1384,1
38,571.2430806257521,467.3188929001203,1662,1
39,569.1763085399449,468.0179063360882,1452,1
40,566.1416837782341,468.41820670773444,1461,1
41,564.1722488038278,468.45317840054685,1463,1
42,562.5740614334471,468.5965870307167,1465,1
43,561.8868343195267,469.07988165680473,1352,1
44,561.6952177016417,469.2234118486795,1401,1
45,559.4296246648794,470.24798927613944,1492,1
46,560.6611987381704,472.8977917981073,1585,1
47,561.0639573617589,472.86009327115255,1501,1
48,562.7238754325259,472.8615916955017,1445,1
49,565.1372937293729,472.5518151815182,1515,1
50,567.0357880247764,473.26841018582246,1453,1
51,566.5381330079317,475.1275167785235,1639,1
52,569.1684563758389,475.14630872483224,1490,1
53,572.3750865051903,475.0221453287197,1445,1
54,574.2312138728323,475.0122832369942,1384,1
55,577.440484675695,474.7056307911618,1403,1
56,579.9803063457331,474.29467541940187,1371,1
57,581.966550522648,474.65156794425087,1435,1
58,587.3915789473684,473.4926315789474,1425,1
59,589.7621231979031,474.7542595019659,1526,1
60,593.5247386759581,473.4313588850174,1435,1
61,598.6431956668923,472.4881516587678,1477,1
62,602.5776627218935,471.57174556213016,1352,1
63,607.9357798165138,471.16819571865443,1308,1
64,613.2621513944223,470.7609561752988,1255,1
65,619.3370865587615,468.6023926812104,1421,1
66,623.5007342143906,470.6519823788546,1362,1
67,629.6423135464231,470.50304414003045,1314,1
68,635.0598354525056,471.32236350037397,1337,1
69,641.1078274760383,471.7020766773163,1252,1
70,648.4527397260274,474.06301369863013,1460,1
71,654.0054263565892,472.2062015503876,1290,1
72,662.3679682329583,473.2263401720715,1511,1
73,668.5587044534414,476.12618083670714,1482,1
74,675.8487972508591,479.16838487972507,1455,1
75,685.5594353640416,478.4806835066865,1346,1
76,692.1009538950716,482.5341812400636,1258,1
77,703.0025402201525,485.87468247248097,1181,1
78,710.8136117556071,491.07424593967517,1293,1
79,720.4857142857143,493.6935064935065,1155,1
80,731.6877049180328,496.1024590163934,1220,1
81,744.7946336429309,500.6996904024768,969,1
82,756.6344186046512,505.7153488372093,1075,1
83,770.0199335548173,509.24473975636766,903,1
84,784.2392392392393,512.3313313313313,999,1
85,798.8766839378238,517.4922279792746,965,1
86,814.9886264216973,523.8617672790901,1143,1
87,830.2693474962064,527.6274658573597,1318,1
