frame,u,v,area,ok
0,369.9943775100402,912.1887550200803,1245,1
1,375.0309974704049,901.1961778438141,1498,1
2,393.3205068824853,878.3746277868671,1635,1
3,402.0254450601892,860.6060841915285,740,1
4,454.79725148553734,821.3498019461346,1067,1
5,461.4700063225961,814.3888829398278,1239,1
6,467.7253541673004,830.9786433361892,403,1
7,nan,nan,0,0
8,nan,nan,0,0
9,485.5378104035824,852.712229720776,430,1
10,610.1264328091553,674.9957786818401,1682,1
11,633.3788589881416,654.724081900891,1741,1
12,657.5281455266252,632.9577340184939,1707,1
13,681.998884512291,613.2722886756992,1737,1
14,705.1649533463983,593.5191762674784,1757,1
15,729.3012106760857,574.4080648108364,1668,1
16,753.8404507715177,554.8704945576524,1728,1
17,778.5456566897581,535.9724823520738,1655,1
18,802.2271268396388,517.7470403444664,1609,1
19,826.1212184496804,500.3208072084003,1752,1
20,849.0156853288357,484.49635615722485,1549,1
21,874.0280804576598,468.1954930744341,1464,1
22,899.8407301178192,453.25752704354267,1614,1
23,922.0904391515805,436.7455174215772,1457,1
24,946.8394371661855,421.90917893302174,1511,1
25,971.0308825487222,407.30200286126575,1473,1
26,997.0261829453934,393.9679673716303,1446,1
27,1017.7244055534735,377.4517872742392,1400,1
28,1032.4046035703095,361.031318817298,768,1
29,1067.2740512017153,344.3684265822814,1127,1
30,1088.3431209712573,335.0773944850866,1534,1
31,1110.7801788971053,321.7658776911338,1403,1
32,1133.0983503158893,307.52458588132725,1359,1
33,1157.6270321779314,297.22882861698923,1586,1
34,1180.800299569269,285.580592285999,1585,1
35,1204.0704636319726,275.4242380696167,1574,1
36,1225.737674323269,262.87187332532494,1492,1
37,1249.7632914604405,250.12202531641913,1384,1
38,1270.161455397182,240.11897779160427,1662,1
39,1295.0913741686948,231.26375626992586,1452,1
40,1318.3887675409064,222.28922334539922,1461,1
41,1341.8496696446791,213.10168994844,1463,1
42,1365.5198878060714,204.22031251455488,1465,1
43,1389.448805297178,196.0139495042264,1352,1
44,1413.2386324816252,187.86523744332604,1401,1
45,1434.4969647380533,181.0000071189339,1492,1
46,1458.771062462169,176.2233270689803,1585,1
47,1481.8343661159486,169.11834862187254,1501,1
48,1505.708243780994,162.4043379404166,1445,1
49,1530.4685490963732,155.73064286044016,1515,1
50,1554.251058624706,150.4383323275898,1453,1
51,1575.747025507176,146.93095470770822,1639,1
52,1599.8442534179032,141.8224297637317,1490,1
53,1624.7881212862974,137.1241033702169,1445,1
54,1647.7996630471298,132.97383677088803,1384,1
55,1672.0965395323894,129.19982389101682,1403,1
56,1695.7480527079058,125.90353451835888,1371,1
57,1718.2218613719817,123.87660429225654,1435,1
58,1743.989967618951,120.57519369170586,1425,1
59,1766.1800444389796,120.20007506049294,1526,1
60,1790.0501118291556,117.50740689634,1435,1
61,1814.9942401541764,115.38884490946545,1477,1
62,1838.1734612017988,113.61116331245123,1352,1
63,1862.352843491661,112.79223342091458,1308,1
64,1886.9067294104016,112.12431876533967,1255,1
65,1912.3768579421724,109.44932603922689,1421,1
66,1934.6911333111798,111.89429572881012,1362,1
67,1959.395333554464,112.21532543057313,1314,1
68,1983.6279626002581,113.59597507934642,1337,1
69,2007.8895186326495,115.23510612711854,1252,1
70,2033.038779219591,118.25511880268536,1460,1
71,2056.4663087520635,116.9425837305943,1290,1
72,2082.0146577486307,118.72923708157752,1511,1
73,2105.3404972459457,121.67144871374441,1482,1
74,2129.3932799587537,124.98356437855605,1455,1
75,2155.2906196023755,125.14185516114075,1346,1
76,2178.366977817702,129.47343824376406,1258,1
77,2204.9723092048807,132.90611858170672,1181,1
78,2226.9078527501943,138.5594932318578,1293,1
79,2251.826076361495,141.62108041085725,1155,1
80,2276.4971832021624,144.3669294047991,1220,1
81,2304.1941427847196,148.71833460976575,969,1
82,2329.589366443329,154.33038125087214,1075,1
83,2353.3612222810775,158.9433118911152,903,1
84,2379.496601930972,163.15429370321934,999,1
85,2402.6503002346644,169.60233641384596,965,1
86,2428.6670291532605,177.19645625816437,1143,1
87,2451.9505626817413,182.09554176652287,1318,1
