frame,u,v,area,ok
0,nan,nan,0,0
1,nan,nan,0,0
2,nan,nan,0,0
3,nan,nan,0,0
4,nan,nan,0,0
5,1554.7212389380531,763.570796460177,226,1
6,1554.7897196261683,763.7663551401869,214,1
7,1554.6915887850466,763.7523364485982,214,1
8,1554.6851851851852,763.6666666666666,216,1
9,1554.7264150943397,763.7452830188679,212,1
10,1554.811320754717,763.7075471698113,212,1
11,1554.8967136150234,763.7276995305165,213,1
12,1554.8767772511849,763.7914691943128,211,1
13,1554.96261682243,763.8785046728972,214,1
14,1555.1216216216217,763.9954954954954,222,1
15,1556.2088353413656,762.5180722891566,249,1
16,1554.5168067226891,762.0672268907563,238,1
17,1555.723404255319,763.7446808510638,188,1
18,1555.5483870967741,763.8010752688172,186,1
19,1549.163323782235,761.5042979942693,349,1
20,1479.402857142857,742.4657142857143,350,1
21,1419.5547445255474,726.6009732360097,411,1
22,1361.0546448087432,711.2486338797814,366,1
23,1303.7359550561798,696.0421348314607,356,1
24,1252.8725099601593,682.5617529880478,251,1
25,1200.9456869009584,669.297124600639,313,1
26,1156.4863813229572,659.5369649805448,257,1
27,nan,nan,0,0
28,1069.7510040160641,635.9437751004016,249,1
29,1034.032258064516,626.7649769585254,217,1
30,1000.1383928571429,618.2633928571429,224,1
31,968.675799086758,611.1506849315068,219,1
32,938.479262672811,603.1705069124424,217,1
33,911.0867346938776,596.1785714285714,196,1
34,884.186507936508,590.1547619047619,252,1
35,857.8675799086758,584.7579908675799,219,1
36,831.8553719008264,579.5619834710744,242,1
37,804.8073394495412,575.9266055045872,218,1
38,776.9613526570048,571.4975845410628,207,1
39,748.014652014652,567.9413919413919,273,1
40,721.551440329218,565.633744855967,243,1
41,693.0229357798165,562.5642201834862,218,1
42,664.4074074074074,560.5370370370371,216,1
43,633.9311926605504,559.9816513761468,218,1
44,604.7831325301205,559.8915662650602,166,1
45,575.0454545454545,559.6988636363636,176,1
46,546.530612244898,561.7857142857143,98,1
47,nan,nan,0,0
48,nan,nan,0,0
49,nan,nan,0,0
50,nan,nan,0,0
51,nan,nan,0,0
52,nan,nan,0,0
53,nan,nan,0,0
54,nan,nan,0,0
55,nan,nan,0,0
56,nan,nan,0,0
57,nan,nan,0,0
58,nan,nan,0,0
59,nan,nan,0,0
