frame,u,v,area,ok,ax_lo_u,ax_lo_v,ax_hi_u,ax_hi_v
0,nan,nan,0,0,nan,nan,nan,nan
1,nan,nan,0,0,nan,nan,nan,nan
2,nan,nan,0,0,nan,nan,nan,nan
3,nan,nan,0,0,nan,nan,nan,nan
4,nan,nan,0,0,nan,nan,nan,nan
5,1554.7212389380531,763.570796460177,226,1,1563.0,767.0,1547.0,760.0
6,1554.7897196261683,763.7663551401869,214,1,1547.0,761.0,1563.0,767.0
7,1554.6915887850466,763.7523364485982,214,1,1547.0,760.0,1563.0,766.0
8,1554.6851851851852,763.6666666666666,216,1,1547.0,760.0,1563.0,766.0
9,1554.7264150943397,763.7452830188679,212,1,1547.0,760.0,1563.0,766.0
10,1554.811320754717,763.7075471698113,212,1,1547.0,761.0,1563.0,766.0
11,1554.8967136150234,763.7276995305165,213,1,1547.0,761.0,1563.0,767.0
12,1554.8767772511849,763.7914691943128,211,1,1563.0,767.0,1547.0,761.0
13,1554.96261682243,763.8785046728972,214,1,1563.0,768.0,1547.0,761.0
14,1555.1216216216217,763.9954954954954,222,1,1547.0,760.0,1564.0,766.0
15,1556.2088353413656,762.5180722891566,249,1,1548.0,768.0,1566.0,757.0
16,1554.5168067226891,762.0672268907563,238,1,1548.0,755.0,1560.0,769.0
17,1555.723404255319,763.7446808510638,188,1,1548.0,763.0,1563.0,767.0
18,1555.5483870967741,763.8010752688172,186,1,1547.0,765.0,1563.0,767.0
19,1549.163323782235,761.5042979942693,349,1,1530.0,757.0,1563.0,769.0
20,1479.402857142857,742.4657142857143,350,1,1462.0,739.0,1497.0,748.0
21,1419.5547445255474,726.6009732360097,411,1,1401.0,723.0,1437.0,731.0
22,1361.0546448087432,711.2486338797814,366,1,1345.0,707.0,1376.0,716.0
23,1303.7359550561798,696.0421348314607,356,1,1288.0,693.0,1319.0,698.0
24,1252.8725099601593,682.5617529880478,251,1,1241.0,678.0,1263.0,687.0
25,1200.9456869009584,669.297124600639,313,1,1185.0,668.0,1216.0,673.0
26,1156.4863813229572,659.5369649805448,257,1,1168.0,657.0,1142.0,664.0
27,nan,nan,0,0,nan,nan,nan,nan
28,1069.7510040160641,635.9437751004016,249,1,1058.0,634.0,1081.0,640.0
29,1034.032258064516,626.7649769585254,217,1,1023.0,625.0,1045.0,630.0
30,1000.1383928571429,618.2633928571429,224,1,989.0,617.0,1011.0,619.0
31,968.675799086758,611.1506849315068,219,1,959.0,608.0,979.0,610.0
32,938.479262672811,603.1705069124424,217,1,929.0,600.0,949.0,604.0
33,911.0867346938776,596.1785714285714,196,1,902.0,593.0,920.0,600.0
34,884.186507936508,590.1547619047619,252,1,873.0,588.0,895.0,593.0
35,857.8675799086758,584.7579908675799,219,1,848.0,583.0,867.0,588.0
36,831.8553719008264,579.5619834710744,242,1,821.0,577.0,843.0,580.0
37,804.8073394495412,575.9266055045872,218,1,795.0,574.0,814.0,579.0
38,776.9613526570048,571.4975845410628,207,1,767.0,571.0,787.0,572.0
39,748.014652014652,567.9413919413919,273,1,736.0,571.0,760.0,567.0
40,721.551440329218,565.633744855967,243,1,712.0,562.0,731.0,569.0
41,693.0229357798165,562.5642201834862,218,1,683.0,564.0,703.0,561.0
42,664.4074074074074,560.5370370370371,216,1,654.0,563.0,674.0,558.0
43,633.9311926605504,559.9816513761468,218,1,623.0,563.0,645.0,559.0
44,604.7831325301205,559.8915662650602,166,1,596.0,563.0,613.0,556.0
45,575.0454545454545,559.6988636363636,176,1,566.0,563.0,584.0,557.0
46,546.530612244898,561.7857142857143,98,1,543.0,554.0,551.0,567.0
47,nan,nan,0,0,nan,nan,nan,nan
48,nan,nan,0,0,nan,nan,nan,nan
49,nan,nan,0,0,nan,nan,nan,nan
50,nan,nan,0,0,nan,nan,nan,nan
51,nan,nan,0,0,nan,nan,nan,nan
52,nan,nan,0,0,nan,nan,nan,nan
53,nan,nan,0,0,nan,nan,nan,nan
54,nan,nan,0,0,nan,nan,nan,nan
55,nan,nan,0,0,nan,nan,nan,nan
56,nan,nan,0,0,nan,nan,nan,nan
57,nan,nan,0,0,nan,nan,nan,nan
58,nan,nan,0,0,nan,nan,nan,nan
59,nan,nan,0,0,nan,nan,nan,nan
