frame,u,v,area,ok
0,524.1146788990826,201.13302752293578,436,1
1,522.263862332696,204.09369024856596,523,1
2,519.1407035175879,204.47403685092127,597,1
3,516.1,203.37457627118644,590,1
4,513.6621848739496,200.89747899159664,595,1
5,511.7575187969925,199.7330827067669,532,1
6,509.11498973305953,196.93018480492813,487,1
7,505.8272727272727,197.26363636363635,440,1
8,503.4508670520231,192.4306358381503,346,1
9,500.87453874538744,190.28413284132841,271,1
10,487.87795275590554,200.9448818897638,254,1
11,484.9033149171271,202.52209944751382,362,1
12,484.4864253393665,201.98190045248867,442,1
13,483.87747035573125,199.77470355731225,506,1
14,482.5625,196.7543103448276,464,1
15,481.9808,197.464,625,1
16,479.71488764044943,197.18539325842696,712,1
17,477.7936507936508,196.18915343915344,756,1
18,475.5076923076923,198.61846153846153,975,1
19,473.10218253968253,200.3045634920635,1008,1
20,471.0311320754717,201.8188679245283,1060,1
21,468.9605504587156,202.35321100917432,1090,1
22,465.8657844990548,202.99149338374292,1058,1
23,463.14271047227925,203.01745379876797,974,1
24,461.11689587426326,204.18860510805501,1018,1
25,459.2257751937984,204.46317829457365,1032,1
26,458.07036247334753,201.11513859275053,938,1
27,457.15195071868584,200.4065708418891,974,1
28,456.06324972737184,199.42093784078517,917,1
29,454.5859872611465,199.98195329087048,942,1
30,453.6939655172414,201.08081896551724,928,1
31,452.4813278008299,202.13485477178423,964,1
32,451.57894736842104,202.6955624355005,969,1
33,450.89307535641547,202.6242362525458,982,1
34,451.99165120593693,201.7282003710575,1078,1
35,450.0446096654275,201.9767657992565,1076,1
36,449.4404761904762,202.0054945054945,1092,1
37,449.5814185814186,198.50849150849152,1001,1
38,448.90284592737976,198.81844946025515,1019,1
39,448.1771217712177,199.57933579335793,1084,1
40,447.84330484330485,199.9335232668566,1053,1
41,447.6384758364312,199.26301115241637,1076,1
42,429.6489361702128,219.7340425531915,94,1
43,429.59139784946234,219.2258064516129,93,1
44,446.12820512820514,200.26429980276134,1014,1
45,445.44725738396625,199.1023206751055,948,1
46,445.3609865470852,199.5280269058296,892,1
47,444.9769696969697,197.21818181818182,825,1
48,444.97355163727957,194.66120906801007,794,1
49,444.1552197802198,190.60164835164835,728,1
50,443.6128266033254,194.71733966745842,842,1
51,443.7593790426908,195.41138421733507,773,1
52,444.45919778699863,193.8865836791148,723,1
53,445.10185185185185,195.1494708994709,756,1
54,445.70943396226414,199.22641509433961,795,1
55,447.3170426065163,200.765664160401,798,1
56,449.606711409396,200.91275167785236,745,1
57,450.7266009852217,200.46428571428572,812,1
58,452.6172539489672,201.0303766707169,823,1
59,454.5330836454432,200.167290886392,801,1
60,456.31120331950206,197.74550484094053,723,1
61,457.58,194.90571428571428,700,1
62,459.14686248331105,197.64085447263017,749,1
63,460.7706766917293,198.41353383458647,798,1
64,463.64833759590795,198.616368286445,782,1
65,467.1204379562044,198.80048661800487,822,1
66,470.251572327044,197.8566037735849,795,1
67,473.36178343949047,198.78089171974523,785,1
68,477.2189500640205,199.24199743918055,781,1
69,481.97099621689784,201.55737704918033,793,1
70,487.796568627451,202.16789215686273,816,1
71,493.61066666666665,200.80933333333334,750,1
72,499.32152230971127,200.13648293963254,762,1
73,504.8284518828452,200.9121338912134,717,1
74,511.1042857142857,201.73714285714286,700,1
75,516.7174515235457,201.63296398891967,722,1
76,523.212201591512,201.5397877984085,754,1
77,528.4471218206158,201.13788487282463,747,1
