frame,u,v,area,ok
0,1441.8617021276596,379.78723404255317,188,1
1,1441.664864864865,379.8,185,1
2,1441.521505376344,379.8709677419355,186,1
3,1441.4354838709678,380.0806451612903,186,1
4,1441.5159574468084,379.9308510638298,188,1
5,1441.680412371134,379.7628865979381,194,1
6,1441.621052631579,380.0052631578947,190,1
7,1441.696335078534,379.94240837696333,191,1
8,1441.5483870967741,380.0698924731183,186,1
9,1441.5081081081082,380.1837837837838,185,1
10,1441.5081081081082,380.1837837837838,185,1
11,1441.521505376344,380.2096774193548,186,1
12,1441.494623655914,380.2741935483871,186,1
13,1441.3967391304348,380.2771739130435,184,1
14,1441.392670157068,380.2565445026178,191,1
15,1441.1947368421052,380.37368421052633,190,1
16,1441.0523560209424,380.413612565445,191,1
17,1441.0051546391753,380.4381443298969,194,1
18,1441.0714285714287,380.4642857142857,196,1
19,1440.7589743589745,380.3948717948718,195,1
20,1440.35,381.1115384615385,260,1
21,1440.5076923076922,380.53333333333336,195,1
22,1440.1821705426357,381.0813953488372,258,1
23,1439.889328063241,381.2213438735178,253,1
24,1440.2572815533981,380.873786407767,206,1
25,1440.2641509433963,380.92452830188677,212,1
26,1439.1935483870968,381.7885304659498,279,1
27,1439.696261682243,381.08878504672896,214,1
28,1439.4279279279278,381.0315315315315,222,1
29,1438.8433179723502,380.9815668202765,217,1
30,1440.0804597701149,382.2490421455939,261,1
31,1439.962962962963,382.0925925925926,270,1
32,1437.9383259911895,381.00881057268725,227,1
33,1437.6340425531914,381.20425531914896,235,1
34,1437.1324786324785,381.482905982906,234,1
35,1436.3146551724137,381.8318965517241,232,1
36,1436.2530120481927,382.14859437751005,249,1
37,1437.7004830917874,380.33816425120773,207,1
38,1437.3622448979593,380.265306122449,196,1
39,1436.497435897436,380.6102564102564,195,1
40,1432.201754385965,381.9122807017544,228,1
41,1430.905982905983,381.9188034188034,234,1
42,1428.9040404040404,381.8888888888889,198,1
43,1426.8579234972678,382.0983606557377,183,1
44,1425.0486486486486,381.65945945945947,185,1
45,1423.8783068783068,381.3174603174603,189,1
46,1422.6700507614214,381.33502538071065,197,1
47,1422.5658536585365,380.9024390243902,205,1
48,1420.0,380.3482587064677,201,1
49,1417.2620320855615,380.55080213903744,187,1
50,1414.5317919075144,380.8265895953757,173,1
51,1412.6797752808989,381.44943820224717,178,1
52,1412.0368098159508,381.319018404908,163,1
53,1410.3714285714286,381.01428571428573,140,1
54,1404.948717948718,381.28846153846155,156,1
55,1396.4852071005917,382.84615384615387,169,1
56,1394.5548780487804,382.2073170731707,164,1
57,1392.095541401274,382.0509554140127,157,1
58,1389.5804195804196,381.4475524475524,143,1
59,1383.4176470588236,381.88235294117646,170,1
60,1381.2605633802816,381.3732394366197,142,1
61,1371.6379310344828,383.12931034482756,232,1
62,1367.537037037037,381.4691358024691,162,1
63,1363.3630573248408,381.1019108280255,157,1
64,1357.4478527607362,380.7546012269939,163,1
65,1353.7152317880796,380.34437086092714,151,1
66,1348.3636363636363,379.6611570247934,121,1
67,1336.0617283950617,379.39506172839504,162,1
68,1330.3977900552486,378.23756906077347,181,1
69,1324.314606741573,377.5842696629214,178,1
70,1322.671875,375.6875,128,1
71,1306.4797687861271,375.5606936416185,173,1
72,1303.2471264367816,373.37931034482756,174,1
73,1299.7590361445782,371.86746987951807,166,1
74,1296.1117318435754,372.1340782122905,179,1
75,1288.9302325581396,369.3139534883721,172,1
76,1279.6065573770493,367.89071038251365,183,1
77,1270.4022988505747,366.0632183908046,174,1
78,1264.328888888889,365.12444444444446,225,1
79,1256.7417840375588,364.25821596244134,213,1
80,1243.9022988505747,362.95402298850576,348,1
81,1235.9019607843138,362.2072829131653,357,1
82,1231.6380952380953,358.8142857142857,210,1
83,1222.6040268456377,357.73489932885906,298,1
84,1213.6542056074766,354.44392523364485,214,1
85,1210.1115879828326,352.57081545064375,233,1
86,1202.6487603305786,350.6735537190083,242,1
87,1195.2212765957447,349.11489361702127,235,1
88,1187.6721991701245,347.2448132780083,241,1
89,1175.7975708502024,345.26720647773277,247,1
