frame,u,v,area,ok
58,357.71875,659.5302419354839,992,1
59,357.70348837209303,658.8866279069767,1032,1
60,357.5984174085064,658.6666666666666,1011,1
65,313.83449883449885,577.3263403263403,429,1
66,312.703007518797,575.1466165413534,532,1
67,313.94594594594594,573.3045045045045,555,1
68,312.609756097561,574.6641651031895,533,1
69,317.86042402826854,573.0689045936396,566,1
70,302.14414414414415,567.5135135135135,444,1
77,336.5837789661319,511.4554367201426,1122,1
88,538.7260579064588,436.7305122494432,449,1
89,549.3231939163499,437.3079847908745,789,1
93,672.3291338582677,442.64409448818895,635,1
95,721.6642599277978,423.96389891696754,554,1
97,800.3026315789474,438.20723684210526,304,1
100,913.3080260303688,453.8662328271873,1383,1
103,1010.3161290322581,440.9225806451613,310,1
104,1056.358431372549,474.88313725490195,1275,1
112,1451.4613003095976,490.11764705882354,323,1
