frame,u,v,area,ok
51,681.0,637.0,0,1
53,722.0,618.0,0,1
54,746.3698630136986,612.0342465753424,0,1
55,769.5410958904109,602.9931506849315,0,1
56,789.4297520661157,595.6694214876034,0,1
57,814.2448979591836,586.6836734693877,0,1
58,831.23,579.91,0,1
59,853.7142857142857,567.8571428571429,0,1
60,874.09243697479,564.7983193277311,0,1
61,893.4485981308411,558.5046728971963,0,1
62,911.9719626168225,552.4299065420561,0,1
63,929.1818181818181,547.8080808080808,0,1
64,952.2142857142857,541.9897959183673,0,1
65,969.3392857142857,536.1071428571429,0,1
66,986.1203703703703,531.5092592592592,0,1
67,1004.2110091743119,527.0733944954128,0,1
68,1022.5154639175257,522.6907216494845,0,1
69,1039.09900990099,519.0297029702971,0,1
70,1055.8539325842696,515.4831460674158,0,1
71,1073.0,512.0760869565217,0,1
72,1090.2577319587629,509.0618556701031,0,1
73,1105.4105263157894,506.2736842105263,0,1
74,1121.1612903225807,503.78494623655916,0,1
75,1136.9894736842105,501.13684210526316,0,1
76,1151.9529411764706,499.54117647058825,0,1
77,1164.873015873016,497.74603174603175,0,1
78,1179.0,494.8333333333333,0,1
79,1191.0,494.5,0,1
80,1206.5428571428572,493.14285714285717,0,1
81,1223.6013986013986,492.16783216783216,0,1
82,1240.1216216216217,490.9594594594595,0,1
83,1251.2525252525252,490.3030303030303,0,1
84,1265.7073170731708,489.280487804878,0,1
85,1276.1566265060242,488.9759036144578,0,1
86,1292.1020408163265,488.55102040816325,0,1
87,1302.7375,488.9625,0,1
88,1314.8433734939758,488.89156626506025,0,1
89,1327.0260869565218,488.96521739130435,0,1
90,1338.5416666666667,489.77777777777777,0,1
91,1350.8333333333333,490.24444444444447,0,1
92,1361.661971830986,491.8732394366197,0,1
93,1372.7058823529412,492.843137254902,0,1
94,1383.7551020408164,493.7142857142857,0,1
95,1396.111111111111,495.4920634920635,0,1
96,1405.1020408163265,496.59183673469386,0,1
97,1412.6825396825398,497.74603174603175,0,1
98,1426.7288135593221,500.9491525423729,0,1
99,1436.0131578947369,503.1842105263158,0,1
100,1444.4347826086957,505.5869565217391,0,1
101,1458.5535714285713,508.30357142857144,0,1
102,1465.5263157894738,510.5263157894737,0,1
103,1474.4035087719299,513.0526315789474,0,1
104,1483.9,515.86,0,1
105,1492.3666666666666,519.0,0,1
