frame,u,v,area,ok
52,418.0,494.0,0,1
54,516.4897959183673,454.5408163265306,0,1
56,576.3148148148148,420.7037037037037,0,1
60,677.1692913385826,348.31496062992125,0,1
61,706.340206185567,346.19072164948454,0,1
62,726.5,343.3333333333333,0,1
63,738.8731707317073,342.2439024390244,0,1
64,770.5714285714286,338.85714285714283,0,1
65,799.1884057971015,334.29468599033817,0,1
66,827.1988950276243,334.878453038674,0,1
68,869.6136363636364,326.54545454545456,0,1
69,882.7951807228916,324.41265060240966,0,1
70,905.5263157894736,321.60526315789474,0,1
71,927.5,314.5,0,1
72,955.3333333333334,312.75,0,1
73,970.1515151515151,299.4848484848485,0,1
88,1015.0,332.0,0,1
